graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
grid_2d,100,4,180,0,Dijkstra,0.0005696260486729443,12.40625,0,"rows=10,cols=10"
grid_2d,100,4,180,0,BMSSP,0.03526245697867125,132.26953125,0,"rows=10,cols=10"
grid_2d,400,4,760,0,Dijkstra,0.0028713750652968884,47.26171875,0,"rows=20,cols=20"
grid_2d,400,4,760,0,BMSSP,0.10243637504754588,306.134765625,0,"rows=20,cols=20"
grid_3d,8,4,12,0,Dijkstra,6.49159774184227e-05,1.3203125,0,"x=2,y=2,z=2"
grid_3d,8,4,12,0,BMSSP,0.0015466659679077566,16.1953125,0,"x=2,y=2,z=2"
grid_3d,125,4,300,0,Dijkstra,0.0006176660535857081,12.65625,0,"x=5,y=5,z=5"
grid_3d,125,4,300,0,BMSSP,0.06910750101087615,273.998046875,0,"x=5,y=5,z=5"
grid_3d,1000,4,2700,0,Dijkstra,0.009486501046922058,111.6171875,0,"x=10,y=10,z=10"
grid_3d,1000,4,2700,0,BMSSP,0.6524347500526346,1382.3515625,0,"x=10,y=10,z=10"
torus,9,4,18,0,Dijkstra,7.82510032877326e-05,1.3515625,0,"rows=3,cols=3"
torus,9,4,18,0,BMSSP,0.002817832923028618,23.0,0,"rows=3,cols=3"
torus,100,4,200,0,Dijkstra,0.0005947919562458992,12.375,0,"rows=10,cols=10"
torus,100,4,200,0,BMSSP,0.041563207982108,147.779296875,0,"rows=10,cols=10"
complete,5,4,10,0,Dijkstra,5.2583927754312754e-05,1.0234375,0,
complete,5,4,10,0,BMSSP,0.001652376027777791,15.4609375,0,
complete,10,4,45,0,Dijkstra,0.00010549998842179775,1.3828125,0,
complete,10,4,45,0,BMSSP,0.009805251029320061,50.25,0,
complete,50,4,1225,0,Dijkstra,0.0008420819649472833,6.6640625,0,
complete,50,4,1225,0,BMSSP,0.4122884170501493,754.8203125,0,
leafspine,5,4,6,0,Dijkstra,5.766696995124221e-05,1.0234375,0,"n_leaves=3,n_spines=2"
leafspine,5,4,6,0,BMSSP,0.0014462489634752274,16.25,0,"n_leaves=3,n_spines=2"
leafspine,15,4,50,0,Dijkstra,0.00012158299796283245,2.0234375,0,"n_leaves=10,n_spines=5"
leafspine,15,4,50,0,BMSSP,0.008870331977959722,65.0703125,0,"n_leaves=10,n_spines=5"
fattree,20,4,48,0,Dijkstra,0.00017749908147379756,2.0859375,0,k=4
fattree,20,4,48,0,BMSSP,0.013534122961573303,54.6796875,0,k=4
fattree,80,4,640,0,Dijkstra,0.0007644150173291564,7.1640625,0,k=8
fattree,80,4,640,0,BMSSP,0.21600383293116465,432.513671875,0,k=8
