graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
complete,50,16,1225,1,BMSSP,1.1957931229262613,723.232421875,1,
leafspine,15,15,50,1,Dijkstra,0.00022099801572039723,2.0859375,1,"n_leaves=10,n_spines=5"
leafspine,15,15,50,1,BMSSP,0.013499916007276624,65.46875,1,"n_leaves=10,n_spines=5"
fattree,80,16,640,1,Dijkstra,0.002293416007887572,7.1640625,1,k=8
fattree,80,16,640,1,BMSSP,0.47587241482688114,456.755859375,1,k=8
tree,10000,1,9999,2,Dijkstra,0.027097958023659885,871.3828125,2,
tree,10000,1,9999,2,BMSSP,0.6583076249808073,6197.95703125,2,
tree,100000,1,99999,2,Dijkstra,0.31456779199652374,15496.1640625,2,
tree,100000,1,99999,2,BMSSP,7.1632952080108225,62315.04296875,2,
grid_3d,125,1,300,2,Dijkstra,0.00029275001725181937,15.671875,2,"x=5,y=5,z=5"
grid_3d,125,1,300,2,BMSSP,0.026691875013057142,276.66796875,2,"x=5,y=5,z=5"
grid_3d,1000,1,2700,2,Dijkstra,0.0028952500433661044,98.83203125,2,"x=10,y=10,z=10"
grid_3d,1000,1,2700,2,BMSSP,0.20558395801344886,1342.921875,2,"x=10,y=10,z=10"
torus,100,1,200,2,Dijkstra,0.00017900002421811223,12.375,2,"rows=10,cols=10"
torus,100,1,200,2,BMSSP,0.014389583026058972,171.310546875,2,"rows=10,cols=10"
complete,10,1,45,2,Dijkstra,4.7084002289921045e-05,1.3828125,2,
complete,10,1,45,2,BMSSP,0.0034652919857762754,49.796875,2,
complete,50,1,1225,2,Dijkstra,0.00024395796936005354,6.7890625,2,
complete,50,1,1225,2,BMSSP,0.10086262499680743,737.099609375,2,
leafspine,15,1,50,2,Dijkstra,4.895799793303013e-05,2.0859375,2,"n_leaves=10,n_spines=5"
leafspine,15,1,50,2,BMSSP,0.004708624968770891,68.59375,2,"n_leaves=10,n_spines=5"
fattree,80,1,640,2,Dijkstra,0.00023520801914855838,6.9453125,2,k=8
